Focus,Partner,Project,Impact,Completion,Description
Infrastructure,P,PROJECT IN,High,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Process,E,PROJECT JI,Medium,In Progress,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Infrastructure,F,PROJECT LI,High,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Engagement,P,PROJECT MO,Low,In Progress,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Engagement,M,PROJECT NO,High,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Engagement,B,PROJECT OOO,High,In Progress,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Governance,P,PROJECT IN,High,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Governance,E,PROJECT GGG,Medium,In Progress,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Governance,F,PROJECT FFF,High,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Governance,P,PROJECT III,Low,In Progress,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Governance,M,PROJECT YYY,High,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Governance,B,PROJECT XXX,High,In Progress,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Capabilities,M,PROJECT QQQ,Medium,In Progress,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Capabilities,B,PROJECT RRR,High,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Analytics,E,PROJECT MMM,Medium,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Analytics,F,PROJECT MNM,Low,In Progress,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Infrastructure,B,PROJECT BBBX,High,In Progress,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Analytics,B,PROJECT CCCD,Medium,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Analytics,C,PROJECT EEEW,High,In Progress,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Data,C,PROJECT FFFW,Medium,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Data,D,PROJECT GGGW,Low,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Data,F,PROJECT IIIQ,High,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Data,D,PROJECT JJJT,Medium,In Progress,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Data,D,PROJECT LLLS,High,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Data,E,PROJECT MMMS,Medium,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Data,F,PROJECT MMA,Low,In Progress,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Data,F,PROJECT BBBA,High,In Progress,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Process,E,PROJECT CDE,Medium,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Infrastructure,E,PROJECT DEZ,Low,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Data,D,PROJECT EFW,High,In Progress,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Process,B,PROJECT GHR,Low,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Capabilities,C,PROJECT HIW,High,In Progress,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Infrastructure,P,PROJECT INB,High,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Process,E,PROJECT JIT,Medium,In Progress,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
